Team Num,Player 1,Rank 1,Player 2,Rank 2,Comb Rank,Team Seed,Div Seed,Div,Team ID,Team Name
1,Tex,1,Chesty,3,4,1,1,A,1A,Tex / Chesty
2,Wee,2,Cureton,5,7,2,1,B,1B,Wee / Cureton
5,Mott,7,Kong,8,15,3,2,B,2B,Mott / Kong
6,Chachkes,9,Aguirre,17,26,4,2,A,2A,Chachkes / Aguirre
3,Struble,4,Kramer,24,28,5,3,A,3A,Struble / Kramer
11,Cooper,14,Mentle,15,29,6,3,B,3B,Cooper / Mentle
8,Lineman,11,DiPesa,21,32,7,4,B,4B,Lineman / DiPesa
7,O’Leary,10,Mary,25,35,8,4,A,4A,O’Leary / Mary
9,Shutts,12,Rechtin,23,35,9,5,A,5A,Shutts / Rechtin
12,Aviv,16,Ponzio,19,35,10,5,B,5B,Aviv / Ponzio
4,Chess,6,Crash,32,38,11,6,B,6B,Chess / Crash
10,Harris,13,Bocci,33,46,12,6,A,6A,Harris / Bocci
15,Rooze,22,Pound,26,48,13,7,A,7A,Rooze / Pound
13,Abs,18,Leibly,31,49,14,7,B,7B,Abs / Leibly
14,Spike,20,House,30,50,15,8,B,8B,Spike / House
16,Fields,27,Silberberg / Frankel,28/29,100,16,8,A,8A,Fields / Silberberg / Frankel
